Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),sbin,00001.137.579,009.25,000.00,000.00,000.00
Clique(4),sbin,000000911.548,013.97,000.00,000.00,000.00
Clique(5),sbin,000000585.171,012.27,000.00,000.00,000.00
Clique(3),WCOJ,00001.137.579,008.61,001.92,000.04,006.19
Clique(4),WCOJ,000000911.548,019.32,007.12,000.04,011.70
Clique(5),WCOJ,000000585.171,034.00,014.21,000.03,019.20
House,WCOJ,00177.745.510,94.00,57.37,7.52,15.93
House,sbin,00177.745.510,66.53,0.00,0.00,0.00
Kite,WCOJ,00003.672.375,21.84,5.40,0.15,15.78
Kite,sbin,00003.672.375,13.67,0.00,0.00,0.00
Cycle(4),sbin,00045.175.984,037.76,000.00,000.00,000.00
Cycle(5),sbin,00263.436.965,227.97,000.00,000.00,000.00
Cycle(4),WCOJ,00045.175.984,039.44,021.77,001.97,012.15
Cycle(5),WCOJ,00263.436.965,159.74,115.60,010.87,014.09
Cycle(6),WCOJ,1.484.438.088,1060.45,872.62,64.73,18.39
Cycle(6),sbin,1.484.438.088,2020.04,0.00,0.00,0.00
Path-3-0.001,WCOJ,000000098.929,2.87,0.07,0.00,2.30
Path-3-0.001,sbin,000000098.929,2.31,0.00,0.00,0.00
Path-4-0.001,WCOJ,000000922.888,5.31,0.52,0.04,4.21
Path-4-0.001,sbin,000000922.888,5.61,0.00,0.00,0.00
